Year,County_FIPS,County,State,Obesity Percentage,Overall SVI,
2018,1001,Autauga County,Alabama,29.6,0.4354,
2018,1003,Baldwin County,Alabama,28.3,0.2162,
2018,1005,Barbour County,Alabama,29.3,0.9959,
2018,1007,Bibb County,Alabama,23.1,0.6003,
2018,1009,Blount County,Alabama,27.8,0.4242,
2018,1011,Bullock County,Alabama,18.7,0.8898,
2018,1013,Butler County,Alabama,30.8,0.8653,
2018,1015,Calhoun County,Alabama,39.2,0.8252,
2018,1017,Chambers County,Alabama,31.2,0.7382,
2018,1019,Cherokee County,Alabama,32.4,0.4516,
2018,1021,Chilton County,Alabama,38.6,0.7602,
2018,1023,Choctaw County,Alabama,38.4,0.8748,
2018,1025,Clarke County,Alabama,31,0.8471,
2018,1027,Clay County,Alabama,24.3,0.564,
2018,1029,Cleburne County,Alabama,26.5,0.5417,
2018,1031,Coffee County,Alabama,33.3,0.5408,
2018,1033,Colbert County,Alabama,31.6,0.4274,
2018,1035,Conecuh County,Alabama,27.2,0.8086,
2018,1037,Coosa County,Alabama,23.8,0.5261,
2018,1039,Covington County,Alabama,34.2,0.7723,
2018,1041,Crenshaw County,Alabama,27.1,0.6873,
2018,1043,Cullman County,Alabama,31.1,0.5182,
2018,1045,Dale County,Alabama,38.8,0.7599,
2018,1047,Dallas County,Alabama,39.4,0.949,
2018,1049,Dekalb County,Alabama,28.5,0.8022,
2018,1051,Elmore County,Alabama,32.5,0.5401,
2018,1053,Escambia County,Alabama,30.8,0.8557,
2018,1055,Etowah County,Alabama,33.9,0.6564,
2018,1057,Fayette County,Alabama,25.5,0.7038,
2018,1059,Franklin County,Alabama,30.1,0.8417,
2018,1061,Geneva County,Alabama,36.5,0.7955,
2018,1063,Greene County,Alabama,24.4,0.9854,
2018,1065,Hale County,Alabama,34.8,0.9599,
2018,1067,Henry County,Alabama,24.3,0.5519,
2018,1069,Houston County,Alabama,35.8,0.6838,
2018,1071,Jackson County,Alabama,30,0.5726,
2018,1073,Jefferson County,Alabama,34,0.6621,
2018,1075,Lamar County,Alabama,27.6,0.6264,
2018,1077,Lauderdale County,Alabama,30.4,0.4468,
2018,1079,Lawrence County,Alabama,21,0.4952,
2018,1081,Lee County,Alabama,28.8,0.6602,
2018,1083,Limestone County,Alabama,25.4,0.5296,
2018,1085,Lowndes County,Alabama,31.9,0.9188,
2018,1087,Macon County,Alabama,32.2,0.8971,
2018,1089,Madison County,Alabama,32.1,0.3076,
2018,1091,Marengo County,Alabama,41.3,0.7621,
2018,1093,Marion County,Alabama,30.2,0.671,
2018,1095,Marshall County,Alabama,34,0.7261,
2018,1097,Mobile County,Alabama,36.8,0.7532,
2018,1099,Monroe County,Alabama,32.2,0.7481,
2018,1101,Montgomery County,Alabama,35.2,0.8427,
2018,1103,Morgan County,Alabama,32.1,0.6895,
2018,1105,Perry County,Alabama,32.5,0.9949,
2018,1107,Pickens County,Alabama,27,0.9207,
2018,1109,Pike County,Alabama,33.8,0.9016,
2018,1111,Randolph County,Alabama,24,0.7191,
2018,1113,Russell County,Alabama,23.7,0.9115,
2018,1117,Shelby County,Alabama,34.2,0.1169,
2018,1115,St. Clair County,Alabama,34.9,0.3656,
2018,1119,Sumter County,Alabama,32.4,0.9557,
2018,1121,Talladega County,Alabama,36.3,0.8736,
2018,1123,Tallapoosa County,Alabama,29.2,0.8863,
2018,1125,Tuscaloosa County,Alabama,35.3,0.6255,
2018,1127,Walker County,Alabama,36.6,0.7452,
2018,1129,Washington County,Alabama,23.9,0.7303,
2018,1131,Wilcox County,Alabama,33.2,0.928,
2018,1133,Winston County,Alabama,26.4,0.7025,
2018,2013,Aleutians East Borough,Alaska,24.2,0.5803,
2018,2016,Aleutians West Census Area,Alaska,29.1,0.4927,
2018,2020,Anchorage Municipality,Alaska,28.7,0.4602,
2018,2050,Bethel Census Area,Alaska,30.2,0.9748,
2018,2060,Bristol Bay Borough,Alaska,21.3,0.3525,
2018,2068,Denali Borough,Alaska,18.9,0.101,
2018,2070,Dillingham Census Area,Alaska,24.7,0.8682,
2018,2090,Fairbanks North Star Borough,Alaska,30.1,0.3446,
2018,2100,Haines Borough,Alaska,20.3,0.207,
2018,2105,Hoonah-Angoon Census Area,Alaska,19.4,0.4178,
2018,2110,Juneau City and Borough,Alaska,24,0.2987,
2018,2122,Kenai Peninsula Borough,Alaska,31.8,0.4073,
2018,2130,Ketchikan Gateway Borough,Alaska,37.2,0.5548,
2018,2150,Kodiak Island Borough,Alaska,25.5,0.7006,
2018,2158,Kusilvak Census Area,Alaska,22,0.9334,
2018,2164,Lake and Peninsula Borough,Alaska,24.6,0.7978,
2018,2170,Matanuska-Susitna Borough,Alaska,32.6,0.3172,
2018,2180,Nome Census Area,Alaska,31.6,0.9299,
2018,2185,North Slope Borough,Alaska,31.9,0.7344,
2018,2188,Northwest Arctic Borough,Alaska,32,0.9354,
2018,2195,Petersburg Census Area,Alaska,17.2,0.665,
2018,2198,Prince of Wales-Hyder Censu,Alaska,19.9,0.7662,
2018,2220,Sitka City and Borough,Alaska,21.7,0.4022,
2018,2230,Skagway Municipality,Alaska,18.3,0.1685,
2018,2240,Southeast Fairbanks Census Area,Alaska,29.9,0.5838,
2018,2261,Valdez-Cordova Census Area,Alaska,30.6,0.2704,
2018,2275,Wrangell City and Borough,Alaska,25.7,0.5618,
2018,2282,Yakutat City and Borough,Alaska,19.8,0.5873,
2018,2290,Yukon-Koyukuk Census Area,Alaska,27.9,0.8812,
2018,4001,Apache County,Arizona,33.1,0.9885,
2018,4003,Cochise County,Arizona,31,0.9064,
2018,4005,Coconino County,Arizona,23.8,0.7131,
2018,4007,Gila County,Arizona,30.8,0.899,
2018,4009,Graham County,Arizona,31.9,0.964,
2018,4011,Greenlee County,Arizona,25.1,0.6188,
2018,4012,La Paz County,Arizona,25.3,0.9236,
2018,4013,Maricopa County,Arizona,27.4,0.6354,
2018,4015,Mohave County,Arizona,29.3,0.8624,
2018,4017,Navajo County,Arizona,31.8,0.9955,
2018,4019,Pima County,Arizona,26.3,0.8828,
2018,4021,Pinal County,Arizona,35.5,0.8592,
2018,4023,Santa Cruz County,Arizona,32.4,0.9318,
2018,4025,Yavapai County,Arizona,24.7,0.521,
2018,4027,Yuma County,Arizona,39.6,0.9895,
2018,5001,Arkansas County,Arkansas,25.1,0.7787,
2018,5003,Ashley County,Arkansas,32.2,0.8576,
2018,5005,Baxter County,Arkansas,28.6,0.2793,
2018,5007,Benton County,Arkansas,30.3,0.2707,
2018,5009,Boone County,Arkansas,25.8,0.4379,
2018,5011,Bradley County,Arkansas,20.6,0.9803,
2018,5013,Calhoun County,Arkansas,20.2,0.5481,
2018,5015,Carroll County,Arkansas,26.8,0.5952,
2018,5017,Chicot County,Arkansas,31,0.9968,
2018,5019,Clark County,Arkansas,23.9,0.7892,
2018,5021,Clay County,Arkansas,27.1,0.6529,
2018,5023,Cleburne County,Arkansas,24.4,0.2083,
2018,5025,Cleveland County,Arkansas,26.7,0.5643,
2018,5027,Columbia County,Arkansas,35.6,0.9398,
2018,5029,Conway County,Arkansas,32.9,0.7589,
2018,5031,Craighead County,Arkansas,36.8,0.8041,
2018,5033,Crawford County,Arkansas,37.2,0.6105,
2018,5035,Crittenden County,Arkansas,32.3,0.9341,
2018,5037,Cross County,Arkansas,28.9,0.7013,
2018,5039,Dallas County,Arkansas,24.1,0.8777,
2018,5041,Desha County,Arkansas,27,0.9596,
2018,5043,Drew County,Arkansas,23.4,0.801,
2018,5045,Faulkner County,Arkansas,32.6,0.4774,
2018,5047,Franklin County,Arkansas,28.6,0.5943,
2018,5049,Fulton County,Arkansas,23.9,0.6688,
2018,5051,Garland County,Arkansas,26.8,0.828,
2018,5053,Grant County,Arkansas,28.6,0.3541,
2018,5055,Greene County,Arkansas,31.5,0.5834,
2018,5057,Hempstead County,Arkansas,24,0.9468,
2018,5059,Hot Spring County,Arkansas,30,0.8188,
2018,5061,Howard County,Arkansas,27.1,0.9045,
2018,5063,Independence County,Arkansas,25.8,0.7525,
2018,5065,Izard County,Arkansas,25.7,0.5697,
2018,5067,Jackson County,Arkansas,22.1,0.765,
2018,5069,Jefferson County,Arkansas,40,0.9436,
2018,5071,Johnson County,Arkansas,31.9,0.8768,
2018,5073,Lafayette County,Arkansas,27.2,0.7898,
2018,5075,Lawrence County,Arkansas,29.2,0.6471,
2018,5077,Lee County,Arkansas,28.3,0.9656,
2018,5079,Lincoln County,Arkansas,24.9,0.8134,
2018,5081,Little River County,Arkansas,24.1,0.6306,
2018,5083,Logan County,Arkansas,23.4,0.8045,
2018,5085,Lonoke County,Arkansas,33.9,0.3309,
2018,5087,Madison County,Arkansas,24.5,0.6535,
2018,5089,Marion County,Arkansas,19.8,0.5175,
2018,5091,Miller County,Arkansas,32.8,0.9124,
2018,5093,Mississippi County,Arkansas,35.1,0.9554,
2018,5095,Monroe County,Arkansas,20.3,0.8516,
2018,5097,Montgomery County,Arkansas,19.1,0.7,
2018,5099,Nevada County,Arkansas,24.2,0.8841,
2018,5101,Newton County,Arkansas,30.3,0.2815,
2018,5103,Ouachita County,Arkansas,32.9,0.8656,
2018,5105,Perry County,Arkansas,29.6,0.636,
2018,5107,Phillips County,Arkansas,39.6,0.9239,
2018,5109,Pike County,Arkansas,23.6,0.7124,
2018,5111,Poinsett County,Arkansas,29.5,0.8268,
2018,5113,Polk County,Arkansas,27.7,0.8949,
2018,5115,Pope County,Arkansas,31.5,0.7936,
2018,5117,Prairie County,Arkansas,23.4,0.6548,
2018,5119,Pulaski County,Arkansas,33.6,0.6287,
2018,5121,Randolph County,Arkansas,28.9,0.7166,
2018,5125,Saline County,Arkansas,28.1,0.3325,
2018,5127,Scott County,Arkansas,22.1,0.8873,
2018,5129,Searcy County,Arkansas,20.9,0.4376,
2018,5131,Sebastian County,Arkansas,34.2,0.8328,
2018,5133,Sevier County,Arkansas,27.4,0.7675,
2018,5135,Sharp County,Arkansas,26.7,0.6191,
2018,5123,St. Francis County,Arkansas,38.3,0.9691,
2018,5137,Stone County,Arkansas,36.9,0.5102,
2018,5139,Union County,Arkansas,30.3,0.8054,
2018,5141,Van Buren County,Arkansas,31.1,0.7226,
2018,5143,Washington County,Arkansas,31.2,0.6745,
2018,5145,White County,Arkansas,33.2,0.7446,
2018,5147,Woodruff County,Arkansas,19.6,0.849,
2018,5149,Yell County,Arkansas,27.9,0.8783,
2018,6001,Alameda County,California,22.6,0.4701,
2018,6003,Alpine County,California,18.1,0.7287,
2018,6005,Amador County,California,23.9,0.5334,
2018,6007,Butte County,California,30.7,0.8064,
2018,6009,Calaveras County,California,20.8,0.235,
2018,6011,Colusa County,California,23.2,0.7436,
2018,6013,Contra Costa County,California,23.9,0.4057,
2018,6015,Del Norte County,California,21.2,0.9713,
2018,6017,El Dorado County,California,23.5,0.1838,
2018,6019,Fresno County,California,34.2,0.9611,
2018,6021,Glenn County,California,22.3,0.8895,
2018,6023,Humboldt County,California,23.3,0.7605,
2018,6025,Imperial County,California,36.8,0.9978,
2018,6027,Inyo County,California,18.1,0.5701,
2018,6029,Kern County,California,31.9,0.9659,
2018,6031,Kings County,California,31.7,0.9707,
2018,6033,Lake County,California,21.7,0.9178,
2018,6035,Lassen County,California,19.5,0.5997,
2018,6037,Los Angeles County,California,23.4,0.7682,
2018,6039,Madera County,California,32.9,0.9541,
2018,6041,Marin County,California,16.5,0.2701,
2018,6043,Mariposa County,California,17.1,0.5293,
2018,6045,Mendocino County,California,25.2,0.8818,
2018,6047,Merced County,California,34.1,0.9717,
2018,6049,Modoc County,California,19.8,0.7516,
2018,6051,Mono County,California,18.6,0.1408,
2018,6053,Monterey County,California,24.6,0.799,
2018,6055,Napa County,California,22.5,0.5051,
