yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1980,-1,0,5,0,0,1,0,30,61,0,40,National,1,0.1,0.9,1.2
1980,-1,0,5,0,0,1,0,30,101,0,40,National,915,76,764,1065
1980,-1,0,6,0,0,1,0,3,61,0,3,National,5.4,0.3,4.8,6
1980,-1,0,6,0,0,1,0,3,101,0,3,National,2337,143,2054,2621
1980,-1,0,6,0,0,1,0,30,61,0,40,National,5.4,0.3,4.8,6
1980,-1,0,6,0,0,1,0,30,101,0,40,National,2337,143,2054,2621
1980,-1,0,7,0,0,1,0,3,61,0,3,National,9.7,0.6,8.7,10.9
1980,-1,0,7,0,0,1,0,3,101,0,3,National,1481,99,1285,1677
1980,-1,0,7,0,0,1,0,30,61,0,40,National,9.7,0.6,8.7,10.9
1980,-1,0,7,0,0,1,0,30,101,0,40,National,1481,99,1285,1677
1980,-1,0,8,0,0,1,0,3,61,0,3,National,8.6,0.8,7.1,10.3
1980,-1,0,8,0,0,1,0,3,101,0,3,National,743,73,598,888
1980,-1,0,8,0,0,1,0,30,61,0,40,National,8.6,0.8,7.1,10.3
1980,-1,0,8,0,0,1,0,30,101,0,40,National,743,73,598,888
1980,-1,0,9,0,0,1,0,3,61,0,3,National,0.6,0.1,0.5,0.8
1980,-1,0,9,0,0,1,0,3,101,0,3,National,967,80,809,1126
1980,-1,0,99,0,0,1,0,3,61,0,3,National,2.5,0.1,2.4,2.7
1980,-1,0,99,0,0,1,0,3,101,0,3,National,5528,204,5126,5930
1980,-1,0,99,0,0,1,0,30,61,0,40,National,3.5,0.1,3.3,3.8
1980,-1,0,99,0,0,1,0,30,101,0,40,National,5475,202,5076,5875
1980,-1,0,99,0,1,1,0,30,61,0,40,National,6.4,0.3,5.8,7
1980,-1,0,99,0,1,1,0,30,101,0,40,National,2918,177,2569,3267
1980,-1,0,99,0,2,1,0,30,61,0,40,National,2.5,0.2,2.2,2.8
1980,-1,0,99,0,2,1,0,30,101,0,40,National,1462,116,1234,1691
1980,-1,0,99,0,3,1,0,30,61,0,40,National,2.1,0.2,1.8,2.5
1980,-1,0,99,0,3,1,0,30,101,0,40,National,1033,105,826,1240
1980,-1,0,99,1,0,1,0,3,61,0,3,National,2.3,0.1,2,2.5
1980,-1,0,99,1,0,1,0,3,101,0,3,National,2371,119,2136,2607
1980,-1,0,99,1,0,1,0,30,61,0,40,National,3.2,0.2,2.9,3.5
1980,-1,0,99,1,0,1,0,30,101,0,40,National,2352,120,2115,2589
1980,-1,0,99,2,0,1,0,3,61,0,3,National,2.8,0.1,2.6,3.1
1980,-1,0,99,2,0,1,0,3,101,0,3,National,3157,144,2871,3442
1980,-1,0,99,2,0,1,0,30,61,0,40,National,3.8,0.2,3.5,4.1
1980,-1,0,99,2,0,1,0,30,101,0,40,National,3124,142,2844,3404
1980,-1,0,100,0,0,1,0,3,61,0,3,National,2.8,0.1,2.6,3
1980,-1,0,100,0,0,1,0,30,61,0,40,National,3.7,0.1,3.5,4
1980,-1,0,100,0,1,1,0,30,61,0,40,National,5,0.2,4.5,5.5
1980,-1,0,100,0,2,1,0,30,61,0,40,National,2.9,0.2,2.5,3.3
1980,-1,0,100,0,3,1,0,30,61,0,40,National,2.9,0.3,2.4,3.5
1980,-1,0,100,1,0,1,0,3,61,0,3,National,2.6,0.1,2.4,2.9
1980,-1,0,100,1,0,1,0,30,61,0,40,National,3.5,0.2,3.2,3.9
1980,-1,0,100,2,0,1,0,3,61,0,3,National,2.9,0.1,2.7,3.2
1980,-1,0,100,2,0,1,0,30,61,0,40,National,3.9,0.2,3.6,4.2
1980,-1,1,99,0,0,1,0,3,61,0,3,National,2.4,0.1,2.3,2.7
1980,-1,1,99,0,0,1,0,3,101,0,3,National,4581,200,4185,4976
1980,-1,1,99,0,0,1,0,30,61,0,40,National,3.3,0.1,3.1,3.6
1980,-1,1,99,0,0,1,0,30,101,0,40,National,4528,200,4133,4923
1980,-1,1,100,0,0,1,0,3,61,0,3,National,2.6,0.1,2.4,2.8
1980,-1,1,100,0,0,1,0,30,61,0,40,National,3.5,0.1,3.2,3.7
1980,-1,2,99,0,0,1,0,3,61,0,3,National,3.3,0.3,2.8,3.9
1980,-1,2,99,0,0,1,0,3,101,0,3,National,862,75,714,1010
1980,-1,2,99,0,0,1,0,30,61,0,40,National,5.3,0.4,4.5,6.2
1980,-1,2,99,0,0,1,0,30,101,0,40,National,862,75,714,1010
1980,-1,2,100,0,0,1,0,3,61,0,3,National,4.4,0.4,3.7,5.2
1980,-1,2,100,0,0,1,0,30,61,0,40,National,6.1,0.5,5.1,7.2
1980,-1,3,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1980,-1,3,99,0,0,1,0,3,101,0,3,National,.,.,.,.
